核函数,C,gamma,训练准确率,测试准确率,加权F1
linear,1.0,-,0.8833955223880597,0.8847583643122676,0.8838744180589985
rbf,1.0,-,0.9067164179104478,0.8736059479553904,0.8731482144212659
rbf,0.1,0.1,0.7145522388059702,0.7100371747211895,0.6535215752643964
rbf,1.0,0.1,0.9617537313432836,0.8996282527881041,0.8989083458595659
rbf,10.0,0.1,0.996268656716418,0.9256505576208178,0.9252783220314159
rbf,100.0,0.1,0.996268656716418,0.9256505576208178,0.9252783220314159
rbf,10.0,0.001,0.8507462686567164,0.8513011152416357,0.8486657554725752
rbf,10.0,0.01,0.9393656716417911,0.9144981412639405,0.9149382432254187
rbf,10.0,0.1,0.996268656716418,0.9256505576208178,0.9252783220314159
rbf,10.0,1,0.996268656716418,0.6617100371747212,0.5974893471603622
rbf,10.0,10,0.996268656716418,0.5687732342007435,0.41781920047921917
